recency,T,frequency,monetary
121,213,18,24.311111111111114
110,218,21,19.909523809523808
285,322,118,28.290000000000003
190,242,27,22.898888888888887
248,268,206,18.50106796116505
275,284,132,22.902121212121212
275,304,62,16.654516129032256
342,371,64,40.61
142,332,28,20.609285714285715
0,58,12,12.76
0,21,2,369.59999999999997
182,261,16,15.88625
0,60,101,15.63871287128713
240,318,60,18.78083333333333
103,126,106,19.80698113207547
0,52,65,18.35876923076923
0,74,19,37.054736842105264
204,262,153,21.858692810457516
0,277,20,15.780000000000001
166,168,105,21.820857142857143
202,297,32,22.290625
0,29,41,8.609268292682927
0,21,11,16.11909090909091
237,253,90,40.45822222222222
189,204,92,14.558804347826088
364,365,467,29.31406852248394
0,232,11,16.37272727272727
0,276,18,16.950000000000003
71,177,38,16.87184210526316
107,319,86,31.207209302325584
303,326,294,22.51863945578231
129,140,230,19.47186956521739
60,64,41,19.181951219512197
34,43,64,19.8575
0,57,31,20.661290322580644
229,287,101,21.425544554455445
65,154,101,16.724554455445546
256,323,382,15.714397905759162
0,33,39,17.222820512820515
0,238,22,22.095454545454547
57,81,53,22.16188679245283
0,115,10,18.59
82,107,47,21.558723404255318
204,332,24,139.35999999999999
0,129,31,15.416451612903227
282,316,73,24.31753424657534
44,49,45,29.932666666666666
346,369,121,30.76710743801653
0,154,21,15.145238095238096
105,212,31,20.113225806451613
0,3,20,15.722
0,334,9,12.666666666666666
0,331,48,19.16625
147,296,43,51.391860465116274
284,295,38,15.841578947368422
216,233,126,32.152142857142856
67,78,47,34.961276595744685
0,18,36,19.056944444444444
0,29,5,18.336000000000002
0,11,13,18.853846153846153
372,373,230,16.73817391304348
314,322,37,131.94270270270272
0,324,3,21.0
0,58,33,18.791818181818183
343,355,161,23.64689440993789
105,256,101,27.168613861386135
222,232,92,32.56576086956522
0,329,10,22.589999999999996
321,326,42,14.536190476190475
169,207,83,23.742168674698792
286,311,45,29.586444444444446
311,353,165,106.83915151515151
225,283,48,23.187916666666666
112,113,52,16.592499999999998
353,367,638,21.610564263322885
367,371,524,23.434770992366413
361,365,344,24.641191860465117
205,213,105,21.748857142857144
65,93,157,18.236178343949042
0,371,7,12.734285714285715
0,113,171,28.501812865497072
101,127,72,17.327916666666667
0,205,16,24.313125
329,357,32,32.36875
192,319,39,21.946410256410257
112,183,37,23.504594594594593
203,210,27,21.55925925925926
140,169,41,23.355853658536585
207,215,268,18.432798507462685
162,242,53,15.051132075471699
0,19,12,18.25
0,71,21,13.502380952380953
162,169,88,26.600454545454546
341,357,334,20.56374251497006
0,291,33,18.285454545454545
338,368,157,17.27968152866242
351,366,207,46.891400966183575
104,201,77,14.922337662337663
342,371,133,33.053609022556394
0,0,38,22.330263157894734
285,294,259,18.18092664092664
0,106,20,17.168
129,133,69,15.267971014492753
94,245,55,18.74509090909091
0,71,19,12.539473684210526
59,65,39,16.53717948717949
366,369,354,16.332570621468925
323,354,161,16.497701863354038
65,150,53,18.82320754716981
61,65,69,10.508260869565218
327,332,53,19.460566037735852
0,371,24,17.825
329,357,124,21.041129032258063
309,320,139,28.638129496402875
261,332,46,18.18108695652174
0,113,26,17.423461538461538
341,364,274,68.96317518248175
0,179,12,19.688333333333336
0,234,22,17.452272727272728
0,352,4,27.599999999999998
21,337,43,18.12953488372093
0,332,4,58.5
0,372,11,14.122727272727273
20,99,38,26.658947368421053
0,63,27,15.837037037037037
0,134,131,4.123129770992366
266,318,222,95.85265765765766
366,369,103,40.737961165048546
372,373,4412,7.491656844968269
209,213,199,20.55718592964824
0,128,15,18.392
0,81,53,82.3920754716981
339,362,197,108.77862944162436
72,308,63,47.78952380952381
85,365,4,952.9875
0,86,4,28.019999999999996
195,211,364,21.52376373626374
159,276,97,28.779278350515465
223,275,95,16.12042105263158
17,25,69,27.51478260869565
230,369,18,27.448888888888888
0,316,45,37.64177777777778
362,366,310,22.547193548387096
0,238,32,35.7375
0,210,12,112.62083333333334
0,59,55,16.226727272727274
294,311,66,21.00060606060606
292,312,50,16.4446
333,371,149,26.72053691275168
221,284,25,33.0696
352,357,103,22.630291262135923
73,75,84,26.49892857142857
6,15,57,9.347719298245613
0,364,14,22.282142857142855
182,192,20,23.183
0,65,4,22.9625
0,192,21,15.472380952380954
0,373,2,96.30000000000001
0,256,25,16.0216
36,371,24,22.728333333333335
45,98,45,19.12022222222222
0,18,14,30.74857142857143
0,365,13,19.540769230769232
160,170,8,872.13
0,186,25,17.1032
331,368,28,17.273214285714285
0,177,25,19.572400000000002
23,284,31,16.608064516129033
0,44,15,15.309333333333335
0,101,2,62.96
50,198,47,22.6268085106383
80,176,29,19.731034482758623
0,281,4,41.51
0,261,14,110.14857142857143
323,326,59,15.97186440677966
0,214,6,15.453333333333333
16,87,46,20.62782608695652
221,296,5,351.9
0,59,25,15.8848
362,365,91,16.205714285714286
38,44,25,17.206000000000003
127,130,56,18.19125
23,360,11,26.636363636363637
134,171,38,179.33263157894737
0,262,9,23.894444444444446
65,98,27,14.186296296296295
0,145,24,17.390833333333333
0,282,18,17.354444444444443
252,311,174,15.002068965517243
0,173,12,11.174999999999999
340,373,120,5.599583333333333
364,367,314,17.80707006369427
82,226,113,24.13070796460177
367,371,414,9.641497584541062
238,308,34,32.9114705882353
198,264,103,16.526796116504855
101,130,52,6.268461538461539
22,290,27,13.114444444444443
0,22,84,10.043333333333333
237,268,48,21.047708333333333
0,96,47,2.8044680851063832
0,294,17,18.326470588235296
181,315,78,25.09102564102564
239,318,109,12.075688073394495
0,372,3,12.700000000000001
55,63,311,6.98
91,302,46,24.05217391304348
0,52,5,104.24000000000001
0,138,3,49.04
97,123,95,16.507684210526318
0,283,26,21.504615384615384
333,360,534,7.50812734082397
187,373,107,15.0192523364486
123,207,11,34.60363636363636
38,365,66,9.090454545454547
0,282,4,93.5
219,362,2,171.61500000000004
138,196,85,26.09435294117647
354,358,154,9.972532467532467
29,266,47,18.191276595744682
47,91,10,57.322
0,275,7,42.57142857142857
24,33,13,112.54153846153847
64,89,42,16.749285714285715
0,88,7,44.15
60,123,71,16.552394366197184
151,219,82,16.809756097560978
41,255,5,70.824
0,24,79,4.768607594936708
107,292,3,110.33333333333333
0,30,31,5.695161290322581
44,86,22,16.945454545454545
97,301,4,54.125
261,270,116,152.19431034482758
0,264,10,13.868
154,172,71,6.986760563380281
66,78,63,46.34619047619047
136,312,2,375.0
213,253,91,23.941428571428574
218,241,75,41.00053333333333
37,40,24,69.2625
363,368,50,49.6726
223,372,22,16.529545454545453
181,320,103,28.59174757281553
0,128,2,297.0
161,169,50,26.7038
0,17,27,6.028888888888889
364,373,720,23.037625
0,161,28,14.477857142857143
0,64,28,6.172142857142857
239,327,30,31.123333333333335
70,74,45,15.423333333333332
323,359,84,24.555952380952384
0,311,8,14.73125
93,171,25,16.632
336,357,82,512.8775609756098
259,283,106,5.7314150943396225
317,319,129,16.749612403100773
61,78,62,17.15967741935484
252,267,120,12.535583333333333
0,25,9,12.682222222222222
270,334,47,246.42127659574467
33,87,96,9.371770833333334
234,365,70,9.651428571428571
319,354,30,20.150333333333332
0,288,23,20.128260869565217
229,373,97,16.535979381443298
248,264,116,17.801293103448273
221,252,215,19.382418604651164
21,24,23,80.1304347826087
322,330,63,16.89
72,78,79,17.566962025316457
0,9,17,19.40294117647059
266,267,180,26.428666666666665
0,306,19,5.687894736842105
329,339,238,16.880420168067225
106,113,16,16.649375
357,365,95,19.54347368421053
0,89,108,7.1278703703703705
0,9,10,16.018
13,371,19,87.41578947368421
0,112,5,27.189999999999998
315,322,129,3.1431782945736435
368,372,305,36.68822950819672
0,197,8,18.1
0,211,22,33.57272727272727
0,156,9,4.359999999999999
200,358,20,368.745
103,133,20,18.610999999999997
0,242,28,13.947857142857144
0,18,4,24.375
27,28,76,16.30763157894737
124,197,28,19.95357142857143
0,292,83,6.094216867469879
361,364,64,108.18921875000001
278,310,13,31.5
89,112,31,16.25032258064516
275,298,27,15.361481481481482
264,268,61,15.97409836065574
0,85,3,70.44
294,317,59,20.794745762711866
49,245,28,16.28142857142857
258,364,31,17.253225806451614
322,326,337,29.038486646884277
0,318,7,17.27857142857143
109,214,6,24.84166666666667
346,357,404,13.999777227722772
72,246,26,19.75769230769231
0,56,4,20.3925
0,323,14,16.390714285714285
0,372,3,16.85
285,294,88,18.71409090909091
370,371,219,21.967762557077627
270,281,109,31.800733944954125
195,249,175,19.08365714285714
49,123,47,16.806170212765956
0,7,1,204.0
279,295,458,15.890174672489083
354,358,131,19.97236641221374
65,129,40,17.2475
274,275,40,24.384
240,354,26,265.84615384615387
22,45,45,14.695999999999998
322,353,10,124.75
356,368,92,8.178695652173912
34,87,71,14.227887323943662
0,357,11,17.322727272727274
314,369,37,17.372162162162162
186,260,27,34.1437037037037
118,256,48,18.355625
210,290,28,32.445
24,33,43,15.743953488372092
0,273,13,39.72461538461538
0,291,33,16.983939393939394
0,99,18,16.96
235,266,35,17.980285714285714
342,373,172,18.822906976744186
312,327,135,13.477111111111112
253,318,14,46.90571428571429
351,366,403,14.483523573200992
0,212,18,19.34166666666667
135,213,76,15.979078947368421
127,151,8,33.925000000000004
0,249,8,22.925
0,253,15,20.502
0,72,10,24.861
0,191,11,31.543636363636367
314,327,68,16.258676470588235
0,373,14,14.704285714285716
7,32,48,9.808333333333334
0,82,15,7.697333333333334
309,319,2,172.0
368,369,424,10.451509433962263
0,192,9,25.422222222222224
0,266,7,25.307142857142857
0,129,22,41.80045454545455
365,366,111,6.558738738738739
363,366,358,35.27357541899441
136,140,6,36.68333333333334
0,179,6,9.68
359,371,1024,27.67322265625
212,338,73,49.50178082191781
71,75,18,16.875
137,295,22,18.912727272727274
366,369,1814,32.393649393605294
364,372,155,57.48916129032258
0,28,21,16.467619047619046
288,359,25,19.1132
97,373,159,49.260817610062894
347,368,24,80.305
0,70,6,12.399999999999999
327,360,421,14.259429928741094
316,317,572,50.49377622377622
0,99,1,207.35999999999999
0,234,8,12.64875
363,365,304,21.131875
0,39,8,30.4925
351,354,20,54.924
0,133,1,76.5
289,333,58,26.407241379310346
0,372,10,35.006
97,157,47,16.734893617021275
279,311,145,10.266689655172414
365,366,200,61.229800000000004
172,184,120,19.12316666666667
0,138,30,16.704666666666665
350,372,76,12.959342105263158
269,288,79,15.162151898734177
0,238,1,30.599999999999998
0,269,50,5.674600000000001
146,240,55,16.77072727272727
269,359,222,16.920405405405404
361,366,140,14.997428571428571
0,77,15,17.278000000000002
0,94,2,32.0
164,187,44,24.393181818181816
0,261,3,25.766666666666666
30,304,7,15.685714285714285
154,240,98,18.301836734693875
0,196,1,3096.0
156,212,127,20.53236220472441
298,308,687,5.244963609898107
350,372,63,15.276031746031746
243,259,170,29.79376470588235
258,366,45,9.388222222222224
230,315,135,17.694444444444443
0,19,23,13.351739130434781
0,332,3,36.983333333333334
332,372,6,103.08666666666666
0,26,17,13.465294117647058
89,99,4,178.20000000000002
335,364,312,11.805320512820513
274,289,86,19.48906976744186
0,295,74,16.998243243243245
0,5,15,32.41466666666667
335,368,85,11.432470588235294
248,298,87,20.014022988505747
224,318,79,15.203291139240505
106,115,120,11.911249999999999
0,22,4,22.95
0,313,8,14.09375
212,334,79,21.370759493670885
305,351,42,24.32095238095238
0,283,41,10.175609756097561
125,143,65,12.174307692307693
281,318,126,10.314206349206348
188,252,13,54.83692307692308
0,26,30,3.6270000000000002
277,299,46,10.182826086956522
363,367,43,8.224418604651163
352,369,293,9.361160409556314
0,46,67,7.186417910447761
0,64,17,16.61470588235294
334,360,265,21.60554716981132
0,45,11,11.016363636363637
326,334,94,42.10404255319149
275,290,179,9.323743016759776
0,267,1,71.4
89,128,79,19.947974683544306
0,337,37,6.378918918918919
0,11,2,57.300000000000004
96,115,29,8.988965517241379
109,205,63,14.475238095238096
0,61,25,4.4832
0,135,3,20.233333333333334
250,262,110,16.343454545454545
351,361,226,15.049734513274338
363,366,119,82.49680672268909
107,126,46,18.915
232,242,57,15.253684210526316
135,150,8,31.282500000000002
250,309,148,8.227364864864866
331,361,321,18.35392523364486
0,93,22,16.067272727272726
350,361,55,19.916727272727275
41,61,141,5.580354609929079
142,199,90,16.895333333333333
0,267,5,66.748
34,156,4,133.495
0,127,5,12.527999999999999
158,236,21,39.01380952380953
119,359,66,12.839545454545455
31,232,5,32.64
91,151,108,19.9625
358,361,32,201.995
0,273,16,6.7631250000000005
0,201,9,28.633333333333333
0,81,2,179.0
0,225,10,16.095
360,365,587,4.69442930153322
230,243,202,6.575990099009901
261,336,43,14.072558139534884
0,212,58,17.77706896551724
82,106,36,20.69027777777778
343,360,31,22.604193548387098
0,261,21,15.693333333333333
269,365,67,9.905223880597015
101,213,13,20.800000000000004
0,203,57,10.265263157894736
0,92,27,4.508888888888889
0,50,16,26.90625
312,330,136,14.422941176470587
64,82,25,20.0448
64,189,26,17.91076923076923
168,261,23,30.93086956521739
182,339,36,28.622222222222224
364,373,13,30.73153846153846
193,205,36,18.689722222222223
0,61,81,3.4960493827160493
0,61,8,69.7025
17,285,9,104.9
0,263,11,18.208181818181817
323,325,1667,4.46126574685063
220,273,90,23.251777777777775
245,256,187,20.504064171122995
364,366,211,21.428862559241704
249,267,433,7.331986143187067
368,369,315,16.96279365079365
0,366,1,590.0
0,37,87,2.430919540229885
58,89,15,18.437333333333335
0,113,16,8.68625
36,99,30,19.69766666666667
117,133,8,32.3
0,40,46,11.798478260869565
0,78,9,15.305555555555555
214,337,82,9.737317073170733
202,220,37,30.59837837837838
125,185,7,13.379999999999999
0,330,13,15.476153846153846
266,290,187,14.487272727272726
0,155,42,8.597857142857142
245,284,31,18.67548387096774
59,249,54,16.18037037037037
0,359,10,20.12
0,137,5,17.48
59,67,59,35.421186440677964
0,1,2,180.0
0,268,5,28.5
0,169,20,18.5945
188,292,81,7.630740740740741
0,155,1,63.75
0,351,21,14.305714285714286
368,372,81,24.701975308641973
0,120,1,15.0
180,203,54,25.657592592592593
301,308,107,13.614859813084111
296,324,72,15.722638888888888
145,150,26,23.02192307692308
317,339,78,19.939999999999998
72,73,62,12.515161290322581
217,254,86,66.66197674418605
292,358,124,18.336129032258064
36,37,20,32.038
360,365,476,22.784768907563027
135,213,105,14.592380952380953
14,86,11,51.57818181818182
0,17,25,7.9792000000000005
81,84,21,37.516666666666666
324,360,75,94.95933333333333
0,81,12,56.275
326,365,108,33.59046296296296
0,316,17,76.96941176470588
335,366,17,46.411764705882355
223,315,53,21.526981132075473
0,14,21,16.70952380952381
223,305,265,13.216301886792454
0,77,51,15.590588235294117
0,157,19,25.632631578947368
0,200,54,15.928148148148148
231,276,134,80.12298507462687
0,260,42,18.472619047619048
0,177,19,18.60157894736842
209,277,116,21.6525
0,287,20,19.475
0,70,8,42.67
0,64,14,16.697142857142858
0,10,16,15.4575
63,79,40,24.478
0,66,16,23.37125
0,60,24,16.5825
0,71,51,14.579019607843136
0,122,32,21.084375
0,80,42,18.291428571428572
0,257,89,6.847191011235955
0,268,29,15.138965517241378
0,63,23,19.11130434782609
278,287,166,18.618915662650604
26,43,60,16.541666666666668
0,71,10,13.495999999999999
184,217,128,17.385703125
0,50,1,56.160000000000004
80,337,29,21.49655172413793
0,365,14,22.020000000000003
0,371,39,19.355641025641027
0,89,23,16.46260869565217
215,276,158,20.963607594936708
0,88,37,21.044594594594592
135,234,53,19.240754716981133
110,136,97,5.902680412371134
267,298,172,21.15877906976744
0,280,15,14.866000000000001
147,178,152,27.315328947368425
0,329,35,15.273428571428573
0,131,35,19.345714285714287
221,232,51,15.646274509803922
0,74,13,41.8523076923077
0,203,1,59.8
308,309,155,16.258193548387098
0,185,21,14.653333333333334
290,319,43,31.65093023255814
266,339,38,40.635000000000005
0,192,26,17.59
244,372,39,15.92897435897436
0,17,3,25.0
211,212,11,22.953636363636363
243,317,27,21.201888888888888
371,373,478,58.82225941422595
267,291,28,35.82357142857143
0,107,18,11.863888888888889
162,296,24,57.9375
37,81,19,37.5
200,205,28,22.886785714285715
360,372,304,20.156019736842108
0,63,16,13.81625
20,170,8,19.98125
249,290,102,17.977549019607842
0,64,127,20.67952755905512
186,294,78,20.823205128205128
358,359,157,23.193121019108283
195,215,29,20.089655172413792
0,10,71,2.8419718309859157
64,75,67,15.02686567164179
67,86,49,13.866326530612247
21,88,46,27.589130434782607
22,96,10,53.424
183,189,101,37.72168316831684
0,1,12,16.4075
175,190,167,20.40754491017964
0,255,54,5.253888888888889
0,91,13,22.818461538461538
12,35,59,19.137966101694918
357,373,194,18.22005154639175
0,23,19,15.362105263157895
191,218,71,28.784788732394365
308,334,433,6.693441108545034
11,270,2,295.0
123,289,17,20.998823529411762
341,366,46,23.007391304347824
189,207,63,28.043174603174602
352,359,382,25.252801047120418
20,49,17,10.790588235294118
124,163,27,53.51851851851852
0,252,9,16.833333333333332
0,58,41,16.45560975609756
0,184,17,18.11176470588235
25,36,98,10.937857142857144
371,373,302,18.89062913907285
15,115,10,16.5
46,47,254,9.84976377952756
272,332,21,20.125714285714285
0,236,62,3.658709677419355
107,298,86,16.648604651162792
102,281,58,21.352931034482758
253,291,79,18.41240506329114
33,234,15,20.063333333333333
211,256,109,16.55559633027523
0,232,11,16.785454545454545
0,65,10,14.034
0,241,8,39.225
0,233,23,19.749565217391304
76,155,69,16.2668115942029
295,353,34,16.923529411764704
350,367,422,21.25191943127962
189,294,14,32.10857142857143
320,372,86,14.137441860465115
78,214,50,25.3968
11,287,8,77.32875
0,311,18,17.570000000000004
360,368,48,42.60145833333333
349,359,35,18.66657142857143
85,368,19,18.318421052631578
252,269,42,27.59785714285714
99,122,65,17.950307692307693
0,288,52,25.775384615384613
307,323,18,16.22222222222222
0,71,17,12.755882352941176
0,64,22,13.451363636363636
159,232,215,20.435488372093022
53,369,26,17.635384615384616
142,145,162,15.303456790123455
0,243,12,9.2475
275,284,44,22.266363636363636
182,183,115,15.578782608695652
0,260,15,16.747333333333334
0,126,10,20.509999999999998
0,73,4,38.050000000000004
175,247,59,15.103728813559322
217,238,44,31.5775
120,179,141,15.09517730496454
0,85,36,17.42111111111111
0,78,8,15.34375
312,371,93,38.97150537634408
8,10,418,2.5639473684210525
0,30,5,25.160000000000004
333,366,172,23.051627906976744
179,219,27,25.191851851851855
233,248,6,104.79666666666667
293,326,217,10.333456221198157
125,204,15,20.517333333333333
161,366,22,21.990909090909092
0,33,66,3.1865151515151515
84,267,75,3.5878666666666663
355,358,296,19.83135135135135
74,75,178,19.35050561797753
272,315,25,51.233999999999995
223,309,37,17.063243243243242
200,240,78,3.539230769230769
188,200,97,6.4029896907216495
147,243,123,5.51349593495935
216,242,51,18.00392156862745
0,319,4,22.950000000000003
249,315,109,34.31256880733945
128,201,135,30.362074074074076
252,280,34,17.178235294117645
62,68,169,3.517869822485207
0,7,32,5.3568750000000005
0,215,14,10.132857142857143
163,245,82,21.943048780487803
55,140,49,15.867959183673468
223,368,81,21.29222222222222
315,334,38,6.321578947368421
41,82,169,5.0700591715976335
0,173,43,4.3500000000000005
350,367,79,4.286329113924051
0,243,27,8.870000000000001
240,253,340,6.143941176470588
0,205,33,41.946969696969695
202,253,25,11.61
152,176,46,15.914565217391303
362,373,126,53.312222222222225
216,241,83,20.33253012048193
354,369,23,20.30608695652174
0,309,10,11.8
0,155,53,14.736415094339621
0,306,24,5.933333333333334
0,63,8,89.05
239,255,174,14.246839080459768
164,179,21,18.07857142857143
291,303,87,22.780689655172413
202,266,58,19.26086206896552
228,264,16,15.497499999999999
227,336,127,15.841574803149607
0,52,26,15.268076923076924
7,12,146,4.548698630136986
0,47,35,4.572571428571428
365,366,246,20.934634146341462
0,312,19,11.553684210526317
166,211,99,7.003232323232324
0,64,23,18.647391304347824
0,26,27,6.086666666666667
282,311,40,6.91875
0,40,97,6.964020618556701
273,285,215,5.034093023255814
270,359,72,16.033333333333335
306,330,195,8.130564102564103
0,318,23,18.160434782608696
140,180,44,12.367727272727272
0,173,13,13.641538461538461
0,116,19,11.255263157894737
266,297,78,9.33
0,252,19,13.53842105263158
298,357,92,17.80945652173913
315,338,59,132.07389830508475
280,285,71,28.61661971830986
167,267,11,279.1290909090909
218,243,145,14.613310344827585
293,327,186,8.319139784946238
0,67,62,17.274677419354838
248,285,63,15.065396825396826
174,226,99,8.124242424242423
0,15,8,15.33
0,74,40,25.833499999999997
0,215,57,5.478596491228069
154,185,28,18.551428571428573
89,105,146,17.974383561643837
0,120,5,50.42
225,234,78,21.12974358974359
109,366,23,15.069565217391306
250,267,96,19.128541666666667
4,39,6,15.700000000000001
322,368,63,17.38222222222222
230,273,166,16.30921686746988
127,241,56,16.66017857142857
172,337,49,7.747959183673469
190,201,16,23.88375
194,204,108,24.43675925925926
115,320,103,15.174757281553399
173,259,52,16.947307692307692
0,179,13,14.574615384615385
227,287,12,7.054166666666667
0,149,83,3.603012048192771
359,362,463,13.628142548596113
98,149,9,24.283333333333335
0,75,25,13.988
30,332,6,31.065
13,32,60,6.457333333333334
133,284,25,19.472800000000003
0,151,16,14.5375
337,339,194,19.170721649484534
137,155,57,14.523333333333333
0,187,3,19.833333333333332
0,285,29,2.245862068965517
57,60,39,79.98564102564103
0,182,8,9.0
0,63,6,151.66666666666666
0,59,9,19.13888888888889
211,236,53,28.081509433962264
369,373,568,114.50637323943663
228,259,90,27.823666666666668
0,38,12,12.608333333333333
0,155,14,22.041428571428575
300,327,194,11.590876288659794
0,318,1,99.5
83,88,134,17.224328358208954
366,373,28,25.423571428571428
0,302,20,16.5395
48,315,48,16.800208333333334
0,271,49,5.823061224489796
311,315,335,18.828805970149254
0,31,8,22.56
0,218,13,19.38923076923077
0,246,10,22.884
91,372,104,10.359519230769232
0,269,21,6.584761904761905
266,298,102,14.166764705882352
49,295,12,25.545833333333334
219,234,60,17.361333333333334
138,254,43,18.60232558139535
0,36,28,18.719285714285714
151,282,85,27.945999999999998
0,217,6,33.30833333333334
258,308,104,19.043846153846154
61,100,42,25.70619047619047
4,33,20,16.674
273,310,63,16.12920634920635
25,161,43,17.50232558139535
27,246,38,16.068157894736842
0,28,33,14.904848484848486
209,234,195,14.787384615384616
255,260,190,3.8410526315789473
0,200,30,11.319999999999999
0,18,3,72.3
0,240,23,15.25
145,217,34,19.65970588235294
303,320,313,9.92929712460064
256,259,41,32.72195121951219
197,292,63,17.15111111111111
0,162,25,12.001600000000002
0,373,1,79.6
278,373,28,33.86607142857143
283,336,24,68.63583333333334
0,288,9,32.916666666666664
122,246,75,15.671733333333334
0,287,35,21.178857142857144
